yachin,type,size,hougaku,years,loft,kouzo,all_floor,target_floor,access_minutes,land_price,dummy_ivc,prefecture
5.8,1K,26.49,東,0,0,木造,2,2,14,82500,0,埼玉県
4.3,ワンルーム,8.8,東,1,1,木造,2,2,8,419000,0,東京都
4.2,ワンルーム,13.81,南西,0,0,木造,3,1,5,326000,0,東京都
4.4,ワンルーム,13.81,南西,0,0,木造,3,2,5,326000,0,東京都
4.1,ワンルーム,14.09,東,0,0,木造,3,1,5,326000,0,東京都
4.1,ワンルーム,14.01,西,1,0,木造,3,1,5,326000,0,東京都
4.4,ワンルーム,13.81,南西,0,0,木造,3,1,5,326000,0,東京都
4.5,ワンルーム,14.25,南東,0,0,木造,3,1,5,326000,0,東京都
4.5,ワンルーム,14.09,南東,0,0,木造,3,2,5,326000,0,東京都
4.6,ワンルーム,13.81,北東,0,0,木造,3,2,5,326000,0,東京都
4.7,ワンルーム,15.58,北東,0,0,木造,3,2,5,326000,0,東京都
4.8,ワンルーム,13.81,北東,0,1,木造,3,3,5,326000,0,東京都
4.9,ワンルーム,15.58,北東,0,1,木造,3,3,5,326000,0,東京都
3.99,ワンルーム,11,南,0,1,木造,2,2,15,536000,0,東京都
4.4,1K,12.66,東,3,0,木造,3,2,7,313000,0,東京都
4.6,1K,14.44,南,1,0,木造,3,2,12,286000,0,東京都
4.2,ワンルーム,12.2,南,1,0,木造,3,1,12,286000,0,東京都
5.4,ワンルーム,18.5,南,0,1,木造,2,2,5,328000,0,東京都
3.9,ワンルーム,10.5,南,0,0,木造,2,1,8,328000,0,東京都
4.3,ワンルーム,12.02,北,3,0,木造,3,1,9,730000,0,東京都
5.6,ワンルーム,26.08,南東,3,0,木造,3,1,9,305000,0,埼玉県
4.7,1K,22.4,南,2,0,木造,2,2,23,244000,0,東京都
4.7,1K,21,南西,2,0,木造,2,2,22,244000,0,東京都
4,ワンルーム,16.17,北,0,0,木造,2,1,7,289000,0,東京都
5.3,1K,21.11,西,0,0,木造,2,2,7,289000,0,東京都
5.1,1K,17,南西,0,0,木造,2,2,25,226000,0,東京都
4.9,ワンルーム,15.52,西,1,0,木造,2,1,5,285000,0,東京都
